words,tags,intent,sentence,slots,intent_id
"['start', 'the', 'engine']","['B-action', 'O', 'O']",1.0,start the engine,{'action': 'start'},
"['push', 'the', 'engine']","['B-action', 'O', 'O']",1.0,push the engine,{'action': 'push'},
"['set', 'the', 'engine']","['B-action', 'O', 'O']",1.0,set the engine,{'action': 'set'},
"['engage', 'the', 'engine']","['B-action', 'O', 'O']",1.0,engage the engine,{'action': 'engage'},
"['fire', 'up', 'the', 'engine']","['B-action', 'I-action', 'O', 'O']",1.0,fire up the engine,{'action': 'fire up'},
"['spin', 'up', 'the', 'engine']","['B-action', 'I-action', 'O', 'O']",1.0,spin up the engine,{'action': 'spin up'},
"['bring', 'the', 'engine']","['B-action', 'O', 'O']",1.0,bring the engine,{'action': 'bring'},
"['increase', 'the', 'engine']","['B-action', 'O', 'O']",1.0,increase the engine,{'action': 'increase'},
"['decrease', 'the', 'engine']","['B-action', 'O', 'O']",1.0,decrease the engine,{'action': 'decrease'},
"['reduce', 'the', 'engine']","['B-action', 'O', 'O']",1.0,reduce the engine,{'action': 'reduce'},
"['accelerate', 'the', 'engine']","['B-action', 'O', 'O']",1.0,accelerate the engine,{'action': 'accelerate'},
"['start', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,start the throttle,{'action': 'start'},
"['push', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,push the throttle,{'action': 'push'},
"['set', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,set the throttle,{'action': 'set'},
"['engage', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,engage the throttle,{'action': 'engage'},
"['fire', 'up', 'the', 'throttle']","['B-action', 'I-action', 'O', 'O']",1.0,fire up the throttle,{'action': 'fire up'},
"['spin', 'up', 'the', 'throttle']","['B-action', 'I-action', 'O', 'O']",1.0,spin up the throttle,{'action': 'spin up'},
"['bring', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,bring the throttle,{'action': 'bring'},
"['increase', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,increase the throttle,{'action': 'increase'},
"['decrease', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,decrease the throttle,{'action': 'decrease'},
"['reduce', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,reduce the throttle,{'action': 'reduce'},
"['accelerate', 'the', 'throttle']","['B-action', 'O', 'O']",1.0,accelerate the throttle,{'action': 'accelerate'},
"['full', 'power']","['O', 'O']",1.0,full power,{'intensity': 'full'},
"['maximum', 'power']","['O', 'O']",1.0,maximum power,{'intensity': 'maximum'},
"['total', 'power']","['O', 'O']",1.0,total power,{'intensity': 'total'},
"['100%', 'power']","['O', 'O']",1.0,100% power,{'intensity': '100%'},
"['high', 'power']","['O', 'O']",1.0,high power,{'intensity': 'high'},
"['max', 'power']","['O', 'O']",1.0,max power,{'intensity': 'max'},
"['I', 'start', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start full throttle,"{'action': 'start', 'regime': 'full throttle'}",
"['I', 'start', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start maximum thrust,"{'action': 'start', 'regime': 'maximum thrust'}",
"['I', 'start', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start full power,"{'action': 'start', 'regime': 'full power'}",
"['I', 'start', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start max power,"{'action': 'start', 'regime': 'max power'}",
"['I', 'start', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start cruise power,"{'action': 'start', 'regime': 'cruise power'}",
"['I', 'start', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I start idle power,"{'action': 'start', 'regime': 'idle power'}",
"['I', 'push', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push full throttle,"{'action': 'push', 'regime': 'full throttle'}",
"['I', 'push', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push maximum thrust,"{'action': 'push', 'regime': 'maximum thrust'}",
"['I', 'push', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push full power,"{'action': 'push', 'regime': 'full power'}",
"['I', 'push', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push max power,"{'action': 'push', 'regime': 'max power'}",
"['I', 'push', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push cruise power,"{'action': 'push', 'regime': 'cruise power'}",
"['I', 'push', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I push idle power,"{'action': 'push', 'regime': 'idle power'}",
"['I', 'set', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set full throttle,"{'action': 'set', 'regime': 'full throttle'}",
"['I', 'set', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set maximum thrust,"{'action': 'set', 'regime': 'maximum thrust'}",
"['I', 'set', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set full power,"{'action': 'set', 'regime': 'full power'}",
"['I', 'set', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set max power,"{'action': 'set', 'regime': 'max power'}",
"['I', 'set', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set cruise power,"{'action': 'set', 'regime': 'cruise power'}",
"['I', 'set', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I set idle power,"{'action': 'set', 'regime': 'idle power'}",
"['I', 'engage', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage full throttle,"{'action': 'engage', 'regime': 'full throttle'}",
"['I', 'engage', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage maximum thrust,"{'action': 'engage', 'regime': 'maximum thrust'}",
"['I', 'engage', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage full power,"{'action': 'engage', 'regime': 'full power'}",
"['I', 'engage', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage max power,"{'action': 'engage', 'regime': 'max power'}",
"['I', 'engage', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage cruise power,"{'action': 'engage', 'regime': 'cruise power'}",
"['I', 'engage', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I engage idle power,"{'action': 'engage', 'regime': 'idle power'}",
"['I', 'fire', 'up', 'full', 'throttle']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up full throttle,"{'action': 'fire up', 'regime': 'full throttle'}",
"['I', 'fire', 'up', 'maximum', 'thrust']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up maximum thrust,"{'action': 'fire up', 'regime': 'maximum thrust'}",
"['I', 'fire', 'up', 'full', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up full power,"{'action': 'fire up', 'regime': 'full power'}",
"['I', 'fire', 'up', 'max', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up max power,"{'action': 'fire up', 'regime': 'max power'}",
"['I', 'fire', 'up', 'cruise', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up cruise power,"{'action': 'fire up', 'regime': 'cruise power'}",
"['I', 'fire', 'up', 'idle', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I fire up idle power,"{'action': 'fire up', 'regime': 'idle power'}",
"['I', 'spin', 'up', 'full', 'throttle']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up full throttle,"{'action': 'spin up', 'regime': 'full throttle'}",
"['I', 'spin', 'up', 'maximum', 'thrust']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up maximum thrust,"{'action': 'spin up', 'regime': 'maximum thrust'}",
"['I', 'spin', 'up', 'full', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up full power,"{'action': 'spin up', 'regime': 'full power'}",
"['I', 'spin', 'up', 'max', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up max power,"{'action': 'spin up', 'regime': 'max power'}",
"['I', 'spin', 'up', 'cruise', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up cruise power,"{'action': 'spin up', 'regime': 'cruise power'}",
"['I', 'spin', 'up', 'idle', 'power']","['O', 'B-action', 'I-action', 'B-regime', 'I-regime']",1.0,I spin up idle power,"{'action': 'spin up', 'regime': 'idle power'}",
"['I', 'bring', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring full throttle,"{'action': 'bring', 'regime': 'full throttle'}",
"['I', 'bring', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring maximum thrust,"{'action': 'bring', 'regime': 'maximum thrust'}",
"['I', 'bring', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring full power,"{'action': 'bring', 'regime': 'full power'}",
"['I', 'bring', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring max power,"{'action': 'bring', 'regime': 'max power'}",
"['I', 'bring', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring cruise power,"{'action': 'bring', 'regime': 'cruise power'}",
"['I', 'bring', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I bring idle power,"{'action': 'bring', 'regime': 'idle power'}",
"['I', 'increase', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase full throttle,"{'action': 'increase', 'regime': 'full throttle'}",
"['I', 'increase', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase maximum thrust,"{'action': 'increase', 'regime': 'maximum thrust'}",
"['I', 'increase', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase full power,"{'action': 'increase', 'regime': 'full power'}",
"['I', 'increase', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase max power,"{'action': 'increase', 'regime': 'max power'}",
"['I', 'increase', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase cruise power,"{'action': 'increase', 'regime': 'cruise power'}",
"['I', 'increase', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I increase idle power,"{'action': 'increase', 'regime': 'idle power'}",
"['I', 'decrease', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease full throttle,"{'action': 'decrease', 'regime': 'full throttle'}",
"['I', 'decrease', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease maximum thrust,"{'action': 'decrease', 'regime': 'maximum thrust'}",
"['I', 'decrease', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease full power,"{'action': 'decrease', 'regime': 'full power'}",
"['I', 'decrease', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease max power,"{'action': 'decrease', 'regime': 'max power'}",
"['I', 'decrease', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease cruise power,"{'action': 'decrease', 'regime': 'cruise power'}",
"['I', 'decrease', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I decrease idle power,"{'action': 'decrease', 'regime': 'idle power'}",
"['I', 'reduce', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce full throttle,"{'action': 'reduce', 'regime': 'full throttle'}",
"['I', 'reduce', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce maximum thrust,"{'action': 'reduce', 'regime': 'maximum thrust'}",
"['I', 'reduce', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce full power,"{'action': 'reduce', 'regime': 'full power'}",
"['I', 'reduce', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce max power,"{'action': 'reduce', 'regime': 'max power'}",
"['I', 'reduce', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce cruise power,"{'action': 'reduce', 'regime': 'cruise power'}",
"['I', 'reduce', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I reduce idle power,"{'action': 'reduce', 'regime': 'idle power'}",
"['I', 'accelerate', 'full', 'throttle']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate full throttle,"{'action': 'accelerate', 'regime': 'full throttle'}",
"['I', 'accelerate', 'maximum', 'thrust']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate maximum thrust,"{'action': 'accelerate', 'regime': 'maximum thrust'}",
"['I', 'accelerate', 'full', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate full power,"{'action': 'accelerate', 'regime': 'full power'}",
"['I', 'accelerate', 'max', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate max power,"{'action': 'accelerate', 'regime': 'max power'}",
"['I', 'accelerate', 'cruise', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate cruise power,"{'action': 'accelerate', 'regime': 'cruise power'}",
"['I', 'accelerate', 'idle', 'power']","['O', 'B-action', 'B-regime', 'I-regime']",1.0,I accelerate idle power,"{'action': 'accelerate', 'regime': 'idle power'}",
"['Going', 'to', 'full', 'throttle']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to full throttle,{'regime': 'full throttle'},
"['Going', 'to', 'maximum', 'thrust']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to maximum thrust,{'regime': 'maximum thrust'},
"['Going', 'to', 'full', 'power']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to full power,{'regime': 'full power'},
"['Going', 'to', 'max', 'power']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to max power,{'regime': 'max power'},
"['Going', 'to', 'cruise', 'power']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to cruise power,{'regime': 'cruise power'},
"['Going', 'to', 'idle', 'power']","['O', 'O', 'B-regime', 'I-regime']",1.0,Going to idle power,{'regime': 'idle power'},
"['Engines', 'on']","['O', 'O']",1.0,Engines on,{'state': 'on'},
"['Engines', 'active']","['O', 'O']",1.0,Engines active,{'state': 'active'},
"['Engines', 'running']","['O', 'O']",1.0,Engines running,{'state': 'running'},
"['Engines', 'started']","['O', 'O']",1.0,Engines started,{'state': 'started'},
"['Engines', 'operational']","['O', 'O']",1.0,Engines operational,{'state': 'operational'},
"['Engines', 'engaged']","['O', 'O']",1.0,Engines engaged,{'state': 'engaged'},
"['We', 'decrease', 'to', '300', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 300 knots,"{'action': 'decrease', 'speed': '300'}",
"['We', 'engage', 'to', '285', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 285 knots,"{'action': 'engage', 'speed': '285'}",
"['We', 'reduce', 'to', '295', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 295 knots,"{'action': 'reduce', 'speed': '295'}",
"['We', 'reduce', 'to', '205', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 205 knots,"{'action': 'reduce', 'speed': '205'}",
"['We', 'bring', 'to', '325', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 325 knots,"{'action': 'bring', 'speed': '325'}",
"['We', 'bring', 'to', '275', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 275 knots,"{'action': 'bring', 'speed': '275'}",
"['We', 'reduce', 'to', '185', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 185 knots,"{'action': 'reduce', 'speed': '185'}",
"['We', 'bring', 'to', '215', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 215 knots,"{'action': 'bring', 'speed': '215'}",
